spa|pbb
vencer (v.t)|cnay-
jornalero (m)|cnaysá, piun
cóndor (m)|cndul
guineo (m)|cneeyũ
tamal de guineo|cneeyũ īts pullu
frente (de la cabeza) (f)|cnene
hechizar (v.t)|cne's
chamuscar (v.t)|cnzeevy-
herida (f)|cpã
lograr capujar (v.t)|cpaachaty-, cpaaupacy-
permitir buscar (v.t)|cpaacue'j-
lograr hacer entender (v.t)|cpaacycjiyu'j-
lograr entender (v.t)|cpaacyjiyu-
lograr tocar (v.t)|cpaajya'ndy-
lograr recomendar (v.t)|cpaaneewe'we-
lograr detener (v.t)|cpaanewe-
lograr llevar (v.t)|cpaanicy-
lograr Intervenir (v.t)|cpaanwe'we-
lograr avisar (v.t)|cpaapta'sh-
permitir contestar (v.t)|cpaasu'j-
lograr airar (v.t)|cpaatjeng-
lograr halar (v.t)|cpaawenzh-
lograr escuchar (v.t)|cpaawẽse'j-
Intervenir (en una conversación) (v.t)|cpaawe'we-
cobijar (v.t)|cpa'chi'j-
hacer llegar (v.t)|cpa'ja'j
alcanzar (a alguien que va adelante) (v.t)|cpajcy-
hacer barrer (v.t)|cpandu'j-
mandar barrer (v.t)|cpandu'j-
deshincharse (v.r)|cpatẽe-
herir (v.t)|cpãvit-
herirse (v.t)|cpãyũu-
herido (adj)|cpãyũuni, cpãvitni
herido (m)|cpãyũusa
hacer rodar (v.t)|cpeelu'j-
hacer gritar (v.t)|cpeembe'j-, cweeyi'j-
dejar pegar (v.t)|cpeetya'j-
bañar (v.t)|cpeu'j-
hacer bañar (v.t)|cpẽu'j-
guayaba (f)|cpiinda, pquiinda
capitán (m)|cpiitan
trueno (m)|cpi'sh
relámpago (m)|cpi'sh cuejne-
caer rayo (v.i)|cpi'sh quīj-
tronar (v.i)|cpi'sh we'we-, cpi'sh sus-
tos (f)|cpjãaja'jni
hacer toser (v.t)|cpjãja'j-
permitir ayudar (v.t)|cpu'chji'j-
jabón (m)|cpun
colerín (m)|cpunga'j wee, punga wee
ansia (náusea) (f)|cpunga'j wẽeni
ser padrinos (de matrimonio) (v.i)|cpu'nze'j-
padrinos (de matrimonio) (m.pl)|cpu'nzesawe'sh
apuntalar (v.t)|cpu'quitje'j-
puntal (m)|cpu'quitje'jwa'jsa
capar (v.t)|cpuunu'j-
dejar fermentar (v.t)|cpuuse'j-
creer (v.t)|creī-
ocupar (v.t)|cseelpi'j-
